Code,name,symptoms_0,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_12,symptoms_13,symptoms_14,symptoms_15,symptoms_16,symptoms_17,symptoms_18,symptoms_19,symptoms_20,symptoms_21,symptoms_22,symptoms_23,Description,commonTestsAndProcedures,commonMedications,age,gender,race/ethnicity
40,Chronic pain disorder,Back pain,76,Low back pain,63,Ache all over,48,Leg pain,41,Neck pain,41,Headache,37,Sharp abdominal pain,34,Shoulder pain,28,Knee pain,26,Hip pain,23,Pelvic pain,8,Lower body pain,"8"""," Also known as Pain Syndrome and Pain Disorder , , ,Pain disorder is chronic pain experienced by a patient in one or more areas, and is thought to be caused by psychological stress. The pain is often so severe that it disables the patient from proper functioning. Duration may be as short as a few days or as long as many years. The disorder may begin at any age, and occurs more frequently in girls than boys. This disorder often occurs after an accident or during an illness that has caused pain, which then takes on a 'life' of its own. , Source: Wikipedia,Patients with chronic pain disorder often receive ",",Magnetic resonance imaging Mri,Lipid panel,Physical therapy exercises Exercises,Insertion of catheter or spinal stimulator and injection into spinal canal,Other therapeutic procedures,Other non OR therapeutic procedures on musculoskeletal system,Physical therapy exercises manipulation and other procedures,Laparoscopy GI only Laparoscopy",",Oxycodone,Methadone,Carisoprodol Soma,Oxymorphone Opana,Diclofenac Topical Product,Milnacipran Savella,Cannabis Schedule I Substance,Cevimeline Evoxac,Sorbitol,Choline,Tolbutamide","30-44,45-59",Unspecified,other
41,Problem during pregnancy,Sharp abdominal pain,76,Pain during pregnancy,75,Problems during pregnancy,49,Lower abdominal pain,39,Spotting or bleeding during pregnancy,36,Nausea,32,Headache,31,Back pain,30,Vomiting,28,Burning abdominal pain,27,Pelvic pain,27,Cramps and spasms,"21"""," Also known as Pregnancy Problem , , ,Problem during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with problem during pregnancy often receive , ",",Urinalysis,Hematologic tests Blood test,Complete blood count Cbc,Radiographic imaging procedure,Glucose measurement Glucose level,Standard pregnancy test,Pelvis exam,Kidney function tests Kidney function test",",Multivitamin,,Miconazole Topical Product,Rho D Immune Globulin Rhogam,Clomiphene Clomid,Methyldopa,Multivitamin With Minerals",15-29,female and,hispanic
42,Liver cancer,Sharp abdominal pain,33,Upper abdominal pain,31,Stomach bloating,13,Changes in stool appearance,9,Decreased appetite,9,Unusual color or odor to urine,5,Increased heart rate,5,Kidney mass,5,Swollen abdomen,5,Symptoms of prostate,5,Leg stiffness or tightness,5,Groin mass,"5"""," Also known as Cancer Of The Liver, Hepatic Cancer, and Malignant Neoplasm Of Liver , , ,Liver cancer or hepatic cancer (from the Greek h?par, meaning liver) is a cancer that originates in the liver. Liver cancers are malignant tumors that grow on the surface or inside the liver. Liver tumors are discovered on medical imaging equipment (often by accident) or present themselves symptomatically as an abdominal mass, abdominal pain, jaundice, nausea or liver dysfunction. Liver cancers should not be confused with liver metastases, which are cancers that originate from organs elsewhere in the body and migrate to the liver. , Source: Wikipedia,Patients with liver cancer often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Glucose measurement Glucose level,Electrolytes panel,X ray computed tomography Scan ct,Ultrasonography Ultrasound,Biopsy,Magnetic resonance imaging Mri",",Spironolactone,Oxycodone,Tacrolimus Prograf,Lactulose,Sorafenib,Dexamethasone,Aprepitant Emend,Gemcitabine Gemzar,Valganciclovir Valcyte,Palonosetron Aloxi,Mycophenolate Mofetil Cellcept,Nystatin Topical Product,Zinc Sulfate","60-74,45-59",male,other
43,Atelectasis,Cough,64,Shortness of breath,61,Sharp chest pain,53,Fever,42,Nasal congestion,42,Dizziness,42,Sore throat,35,Sharp abdominal pain,35,Difficulty breathing,26,Rib pain,26,Ache all over,26,Headache,"26"""," , ,Atelectasis (from Greek: ??????, ""incomplete"" + ???????, ""extension"") is defined as the collapse or closure of the lung resulting in reduced or absent gas exchange . It may affect part or all of one lung. It is a condition where the alveoli are deflated, as distinct from pulmonary consolidation. , Source: Wikipedia,Patients with atelectasis often receive ",",Radiographic imaging procedure,Plain x ray X ray,Hematologic tests Blood test,Complete blood count Cbc,X ray computed tomography Scan ct,Electrocardiogram,Intravenous fluid replacement,Electrolytes panel",",Guaifenesin Mucinex,Cilostazol,Tiotropium Spiriva,Factor Ix Complex Obsolete,Lactase,Iodine I Deal,Pancreatin,Filgrastim Neupogen,Darbepoetin Alfa Aranesp,Olopatadine Ophthalmic,Cefuroxime,Rosiglitazone Avandia","75+,60-74",Unspecified,other
44,Injury to the hand,Hand or finger pain,82,Hand or finger swelling,47,Wrist pain,34,Hand or finger stiffness or tightness,27,Joint pain,15,Skin growth,12,Muscle stiffness or tightness,4,Pallor,4,Focal weakness,4,Symptoms of the face,4,Wrist swelling,4,Hand or finger lump or mass,"4"""," Also known as Hand injury , , ,The hand is a very complex organ with multiple joints, different types of ligament, tendons and nerves. With constant use, it is no wonder that hand disease injuries are common in society. Hand injuries can result from excessive use, degenerative disorders or trauma. , Source: Wikipedia,Patients with injury to the hand often receive ",",Radiographic imaging procedure,Plain x ray X ray,Application of splint Splinting,Wound care management,Suturing of wound,Physical therapy exercises Exercises,Occupational therapy assessment Speech therapy,Prophylactic vaccinations and inoculations",",Etodolac,Etanercept Enbrel,Propoxyphene,Capsaicin Topical,Dapsone,Combivir,who go to their doctor with injury to the hand,nd or finger pain,nd or finger swelling,g wrist pain",Unspecified,Unspecified,other
45,Choledocholithiasis,Sharp abdominal pain,83,Upper abdominal pain,59,Vomiting,57,Nausea,52,Sharp chest pain,42,Back pain,29,Diarrhea,29,Jaundice,29,Side pain,23,Chills,17,Unusual color or odor to urine,9,Decreased appetite,"9"""," , ,A gallstone is a crystalline concretion formed within the gallbladder by accretion of bile components. These calculi are formed in the gallbladder but may distally pass into other parts of the biliary tract such as the cystic duct, common bile duct, pancreatic duct, or the ampulla of Vater. Rarely, in cases of severe inflammation, gallstones may erode through the gallbladder into adherent bowel potentially causing an obstruction termed gallstone ileus. , Source: Wikipedia,Patients with choledocholithiasis often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Radiographic imaging procedure,Intravenous fluid replacement,Kidney function tests Kidney function test,Electrolytes panel,Glucose measurement Glucose level,Urinalysis",",Metronidazole,Midazolam Versed,Zosyn,Ampicillin,Mivacurium,Plasma Protein Fraction Plasmanate,Vitamin K 1 Mephyton,Desipramine,Cinacalcet Sensipar,Barium Sulfate,Sulfamethoxazole Bactrim,Cefepime","75+,60-74",Unspecified,other
46,Injury to the hip,Hip pain,84,Leg pain,45,Neck pain,28,Groin pain,28,Lower body pain,17,Hand or finger swelling,17,Peripheral edema,17,Leg swelling,17,Problems with movement,"17""",,,,,,," Also known as Hip Injury , , ,General or unspecified injuries involving the hip. , Source: MeSH,Patients with injury to the hip often receive ",",Radiographic imaging procedure,Plain x ray X ray,X ray computed tomography Scan ct,Kidney function tests Kidney function test,Intravenous fluid replacement,CAT scan of head Head ct,Application of splint Splinting,Insertion of catheter into urinary bladder",",Hydrocodone,Metaxalone Skelaxin,Calcium Acetate,Hydroxychloroquine Plaquenil,Rosiglitazone Avandia,Glucosamine,Malathion Topical,Gadoteridol Prohance,Devil S Claw Preparation,Isocarboxazid Marplan",Unspecified,Unspecified,other
47,Cirrhosis,Sharp abdominal pain,39,Shortness of breath,30,Peripheral edema,24,Fatigue,20,Upper abdominal pain,20,Abdominal distention,16,Stomach bloating,10,Blood in stool,10,Regurgitation,8,Symptoms of the kidneys,5,Vomiting blood,5,Melena,"5"""," Also known as Liver Cirrhosis, Cirrhosis Of Liver, and Hepatic Cirrhosis , , ,Cirrhosis /s??ro?s?s/ is a consequence of chronic liver disease characterized by replacement of liver tissue by fibrosis, scar tissue and regenerative nodules (lumps that occur as a result of a process in which damaged tissue is regenerated), leading to loss of liver function. Cirrhosis is most commonly caused by alcoholism, hepatitis B and hepatitis C, and fatty liver disease, but has many other possible causes. Some cases are idiopathic (i.e., of unknown cause). , Source: Wikipedia,Patients with cirrhosis often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Glucose measurement Glucose level,Electrolytes panel,Lipid panel,Liver function tests Liver test,Hemoglobin A1c measurement Hemoglobin a1c test,Ultrasonography Ultrasound",",Furosemide,Spironolactone,Lactulose,Tacrolimus Prograf,Nadolol,Mycophenolate Mofetil Cellcept,Propranolol,Thiamine,Methadone,Ursodiol Urso,Epoetin Alfa Procrit,Peginterferon Alfa 2B Sylatron,Zinc Sulfate","60-74,45-59",Unspecified,hispanic
48,Thoracic aortic aneurysm,Sharp chest pain,68,Dizziness,42,Back pain,38,Shortness of breath,38,Sharp abdominal pain,29,Fatigue,23,Chest tightness,17,Unusual color or odor to urine,9,Flushing,9,Leg cramps or spasms,9,Coughing up sputum,9,Jaundice,"9"""," , ,A thoracic aortic aneurysm is an aortic aneurysm that presents primarily in the thorax. , Source: Wikipedia,Patients with thoracic aortic aneurysm often receive ",",Radiographic imaging procedure,Electrocardiogram,Hematologic tests Blood test,Complete blood count Cbc,X ray computed tomography Scan ct,Glucose measurement Glucose level,Kidney function tests Kidney function test,Electrolytes panel",",Metoprolol,Nitroglycerin,Hydralazine,Labetalol,Esmolol,Pentoxifylline,Colchicine,Amiodarone,Nitroprusside,Estropipate Ogen,Dexamethasone Ophthalmic,Paricalcitol Zemplar","75+,60-74",male and,other
49,Subdural hemorrhage,Headache,67,Dizziness,36,Problems with movement,36,Depressive or psychotic symptoms,28,Seizures,24,Vomiting,24,Facial pain,14,Disturbance of memory,14,Irritable infant,7,Abnormal movement of eyelid,7,Hostile behavior,7,Delusions or hallucinations,"7"""," Also known as Subdural Hematoma , , ,A subdural hematoma (American spelling) or subdural haematoma (British spelling), also known as a subdural haemorrhage (SDH), is a type of hematoma, usually associated with traumatic brain injury. Blood gathers within the outermost meningeal layer, between the dura mater, which adheres to the skull, and the arachnoid mater, which envelops the brain. Usually resulting from tears in bridging veins which cross the subdural space, subdural hemorrhages may cause an increase in intracranial pressure (ICP), which can cause compression of and damage to delicate brain tissue. Subdural hematomas are often life-threatening when acute. Chronic subdural hematomas, however, have better prognosis if properly managed. , Source: Wikipedia,Patients with subdural hemorrhage often receive ",",Radiographic imaging procedure,X ray computed tomography Scan ct,Hematologic tests Blood test,Complete blood count Cbc,Intravenous fluid replacement,Plain x ray X ray,CAT scan of head Head ct,Electrolytes panel",",Levetiracetam Keppra,Phenytoin Dilantin,Labetalol,Phenobarbital,Mannitol,Nicardipine,Vitamin K 1 Mephyton,Carbidopa,Rocuronium,Linezolid Zyvox,Dorzolamide Ophthalmic,Fosphenytoin,Cefepime",",,75+,",Unspecified,other
50,Congenital rubella,Pain in eye,91,Shoulder cramps or spasms,91,Facial pain,91,Ankle pain,91,Wrist pain,91,Pain during pregnancy,91,Excessive anger,91,Joint stiffness or tightness,91,Pain or soreness of breast,91,Knee lump or mass,91,Fatigue,91,Excessive urination at night,"91"""," , ,Congenital rubella syndrome (CRS) can occur in a developing fetus of a pregnant woman who has contracted rubella during her first trimester. If infection occurs 028 days before conception, there is a 43% chance the infant will be affected. If the infection occurs 012 weeks after conception, there is a 51% chance the infant will be affected. , Source: Wikipedia,Patients with congenital rubella often receive ",",Corneal transplant,Transurethral resection of prostate TURP Turp,Coronary thrombolysis,Control of epistaxis,CT scan abdomen Ct of abdomen,Procedures on spleen Spleen operation,Bone marrow transplant Bmt,Removal of ectopic pregnancy",",Air,Mecamylamine,Troleandomycin,Indium Oxyquinoline In 111 Indium In 111 Oxyquinoline,Pipecuronium Arduan,Grepafloxacin Raxar,Rabbit Anti Human T Lymphocyte Globulin Thymoglobulin,Iopanoic Acid,Conjugated Estrogens Topical,Malathion Topical,Gemtuzumab Mylotarg,Norelgestromin Ortho Evra","30-44,75+,60-74,5-14,1-4,15-29,45-59,< 1",Unspecified,"other,hispanic,black"
51,Diabetic retinopathy,Diminished vision,71,Spots or clouds in vision,33,Pain in eye,25,Lacrimation,22,Symptoms of eye,21,Eye redness,11,Foreign body sensation in eye,11,Itchiness of eye,8,Blindness,7,Bleeding from eye,7,Abnormal movement of eyelid,7,Double vision,"4"""," , ,Diabetic retinopathy, () is retinopathy (damage to the retina) caused by complications of diabetes, which can eventually lead to blindness. It is an ocular manifestation of diabetes, a systemic disease, which affects up to 80 percent of all patients who have had diabetes for 10 years or more. Despite these intimidating statistics, research indicates that at least 90% of these new cases could be reduced if there was proper and vigilant treatment and monitoring of the eyes. The longer a person has diabetes, the higher his or her chances of developing diabetic retinopathy. , Source: Wikipedia,Patients with diabetic retinopathy often receive ",",Other therapeutic procedures on eyelids conjunctiva cornea,Ophthalmic examination and evaluation Eye exam,Ophthalmologic and otologic diagnosis and treatment,Hemoglobin A1c measurement Hemoglobin a1c test,Repair of retinal tear detachment,Other extraocular muscle and orbit therapeutic procedures,Other intraocular therapeutic procedures,Destruction of lesion of retina and choroid",",Insulin,Insulin Glargine Lantus,Tropicamide Ophthalmic,Phenylephrine Duramax,Insulin,,,Brimonidine Ophthalmic,Prednisolone Ophthalmic,Bevacizumab Avastin,Rosiglitazone Avandia,Latanoprost,Gatifloxacin Zymar,Timolol,Bimatoprost Ophthalmic","75+,60-74,45-59",Unspecified,other
